HP,EP,VN,GN
69.10394906135485,34.9768642018832,40.63426589869996,74.12352488587881
77.59770996568777,28.94384495420355,47.07362659029123,66.68429663258759
67.39297128764446,34.08843525832219,45.10025521904183,72.91942835809974
67.34032770165403,30.650934074268612,40.680656880947645,60.70806860847688
86.97537243530338,32.96110059043316,52.258719398308656,70.89008832037521
70.1516894250049,32.182426293880354,43.99905263250964,68.55128239741832
81.3275217073276,40.955303231713195,43.008625894542824,70.83018769057661
67.08040842197133,37.360754497996645,40.5044016438066,74.61224359354915
77.10772376405342,31.280980884070708,48.7503032138614,65.21963549806634
61.29891010946339,35.588819963805285,35.89953270303658,68.70898546314167
79.18093252853177,32.04495340676426,42.42625829883491,74.70141375062893
97.75871337421074,37.68328725850022,48.31480828372495,80.53604729105794
71.31829196991954,28.726097456695904,46.55947194363434,72.28578714310446
75.39807255831789,34.39633357371888,44.904961577681455,68.46487532564342
71.77371898945233,40.320683358782304,39.42533317394325,66.12838778658397
80.46825559743637,38.20249599943474,49.74975043963757,72.67003231896373
72.65488929696247,35.13046676806348,40.76930438306603,69.36395363221904
73.63065253845619,33.723569495400604,41.65359534701517,75.26468923764276
68.17303835425899,38.293235139114536,43.407038411945756,75.78912051586073
69.30740264634433,34.121178343916384,39.982607772115,72.63178586475487
69.07599993094117,30.834345284133875,45.895653040321264,72.43962637936825
63.44113320238959,32.58724544357875,40.50771736027209,68.96225058552099
72.53207260862057,33.60834325956961,48.48125454587891,65.21124273179177
67.73932898579838,38.757448844494505,40.06679803694181,78.1758762849249
70.4891115403316,37.991675027036635,47.45441153634379,70.48325342166653
82.01567601351539,32.392355432920475,46.76494100991788,67.33378043645935
58.390803535360405,36.73405638935182,46.38182601176936,69.72458650580954
64.83519553746875,28.29611612452756,46.151783352866914,72.60793924645985
68.30487752344702,34.35901328138192,42.092733972897676,63.60396222696347
81.69512593242935,34.52946679078888,41.2072273602794,70.67857439620279
67.78334084693198,31.765728689954774,44.23790432766049,65.79430013109382
64.78247789855045,37.6138273667809,43.185259707676515,60.72618315816546
68.77100405981871,31.277372207555267,37.31016525793835,70.83159583391014
70.95236391996599,35.5921855004105,42.86644869323774,64.99299934354534
63.120570563978475,33.82693776766661,36.12870792365708,64.72856521241116
83.14068518421047,26.3907359733818,47.26248350895827,73.04940465054182
78.17882050835766,37.571093945368126,47.122879321874784,75.89612229144669
66.88931974454802,32.28103489081685,43.97182937672908,67.16943839610796
67.00383061020739,26.2692162447664,45.867798551292665,72.75228314565781
89.6855103547943,29.31783922559945,46.50410985274986,69.61541418804757
85.6091719014673,35.935514603177495,40.15069735856677,69.49054830960628
67.841635839042155,34.04481349934437,42.68821663178146,71.68373786665502
67.36913705756439,38.90353778045865,39.77992554253458,71.3598950372008
80.4715340348338,32.446576846796795,48.72108801265375,68.13265423612572
77.15382609471517,35.56529364253419,45.89812076470034,73.5008473337739
61.17665871738529,34.30488672209958,45.525998332229236,66.50568166572235
85.5090681028165,34.06825548342856,47.421298399747954,69.81927480715395
72.06036606520581,35.19799290675302,48.417868826331414,74.77722138559639
66.6368227785032,33.06316898639142,44.178693472922014,68.41589780709472
74.67445126655807,39.63180499688764,45.72774264348398,67.80237080925662
78.11947710787828,35.52809761711774,49.6666064666097,72.81026178887637
71.02258171226812,35.804815782502224,48.83393852288452,65.71075878331558
80.14156946320041,35.57639834745224,42.54449148507863,74.68282045116545
76.49136714920925,38.238393521531826,47.32374079544492,67.11417175018231
67.66550918745688,40.82479357922559,43.86279780010858,69.94404921230546
68.54402119076643,27.76898945084215,47.38141427046413,72.60407549115703
79.32392639554415,37.91772493787056,48.793442526502226,69.00304487661121
77.90067700061427,39.8063703231673,39.47779227998068,69.1765909322568
66.9310736617939,39.26601644472628,39.638682678062246,65.13871196797645
49.097775037725555,40.417459215662504,44.024406113726286,66.93858232966437
74.39614952604832,34.99644245830835,46.229567210160916,71.29328381893104
60.34550006377418,39.781982437729084,46.33247562086808,63.748153750363905
70.9865109717896,33.38271000156293,43.745837914425366,70.9129968946631
76.74881599268285,36.32204984826336,44.95633887093486,70.17463647772573
89.74422692654542,41.77431396431063,40.302200998642185,67.79553606917011
83.8785836985164,27.752031689628886,45.05805482736047,71.54658299537087
74.08415800657642,30.741209286915655,42.97358524254222,72.2289063558628
76.22946526554487,36.33803412396961,41.78330078513508,67.97551716318593
69.72228860903307,32.44905744273421,42.095251283524696,71.82305601363247
74.18019599988995,27.754639260246673,42.913157350917736,75.59363210278353
76.80464102941005,35.19631012691563,40.85881595078447,76.2268400887143
64.28765151775252,31.11465054754575,42.16509715984999,63.59017899199687
81.41978298588953,31.096005778784033,44.4894396472757,67.30898357308054
80.17883917878815,30.680027338493183,45.28567871595487,71.58170429273837
82.02673232222324,30.781836288760452,48.944702064955315,76.81215669745832
90.48244321694995,34.81375454787956,42.750681907776844,71.90989375019042
65.68009589688232,36.67239381757637,44.231043058810215,79.16661150450567
60.26994970739491,40.40464723364379,44.60744201978507,67.21718259186166
68.45365700016603,36.463401214309386,53.428232817429915,77.10388367349465
72.14950649589748,34.18593020764882,39.332955965675836,75.42803270955541
65.9959585842644,28.6556067711834,45.720561465611055,70.6318847270439
87.22088216795244,40.30759036941486,45.10922545678812,74.9343145792012
74.88011068176552,40.3367605213901,48.15168527039539,66.3192788489853
78.60338040602758,31.85632585470843,46.07904578860464,70.25968098302229
75.23446082745835,33.93858407176638,48.618298749783406,74.90012252645779
68.58301604950525,38.83746736151154,40.92883062895651,69.33183770163764
61.655244070447594,37.22315759659407,46.87437959285989,65.33806458520979
80.36008589789094,35.54183805744955,48.44953528742002,71.79074431739815
67.21718898753797,39.152562562328654,40.49390161825428,70.91149536134583
80.9681077287705,36.18982390412361,48.13272647340599,74.59107933846971
80.28746894754175,33.51184727686498,38.926250733069374,68.67415322377401
73.45998133044219,30.046764138677805,44.70662551911104,68.46846259025273
72.93054203285972,31.88386251144734,40.30631604322021,74.016441878801
58.41835706569995,36.821100086170254,41.714216434243745,65.62610386013363
72.99709072396857,36.26204911760023,41.64834933264302,69.20932348996045
80.02492625187654,28.68538049900073,51.43911836019171,69.45942299961393
80.29987302837826,37.28952341537392,48.95210527597927,76.62093696441198
68.17169414056801,30.163357847086477,46.359140401368755,61.633482460358834
73.20064984944031,38.240946673631356,39.50041689798739,72.48652484490421
48.60838766989565,31.47370450672553,43.318831572952426,67.97089496623362
72.74042269643567,38.71409222364693,41.46938558400463,72.12299006433449
74.38087628144606,34.279532951475254,40.79707270559359,71.9107767406122
75.50087673817383,40.73912034398776,41.18853157082592,64.26054261777564
73.28736201239668,31.74139589719114,44.909045922886726,65.34877571215505
71.28650447285928,34.654613663428215,47.4434397337921,66.01519618885703
77.07447189556392,36.66733128182469,40.851606982738296,68.86672991375696
79.95787927696126,40.13118410774704,42.810262148352535,77.31035562848491
80.54510664747959,35.028303352628654,48.290641380948614,74.43457641492509
67.36590680719885,37.42153069249389,37.45162107659324,68.40373846494053
74.00500545574148,32.32416912121415,46.681502931355986,67.2904554232368
89.93430413129678,34.96125262761808,49.448690192914064,74.0270942524406
67.01524199000336,34.145460007672575,41.61882763460817,66.2354068880205
71.5439473238333,33.10427148350657,40.25676221965679,59.95101808784088
64.35120320417806,31.558619524370933,40.31112828828515,70.04406585683553
70.24347756749059,31.138812189803097,49.01009245827034,72.95525488197224
68.55211700244888,32.682850338618614,39.848896138392085,64.25007406515385
65.89197995263973,28.21120716258446,47.39778232546583,71.63407400705297
66.70823218997027,25.795414481318673,42.14828708623901,64.82273214291938
76.93692783434544,32.17046610920087,44.22133737167756,63.39090163771427
64.26826388999612,43.966110643794686,39.52080800101768,67.4718545281997
73.21603230936118,38.06245012173023,48.05502337406454,69.17889904953026
