HP,EP,Narc
69.10394906135485,34.9768642018832,48.33508054232044
77.59770996568777,28.94384495420355,59.62809085289697
67.39297128764446,34.08843525832219,58.48881170066308
67.34032770165403,30.650934074268612,69.36480540461994
86.97537243530338,32.96110059043316,71.03588826161571
70.1516894250049,32.182426293880354,80.24498189865882
81.3275217073276,40.955303231713195,69.8301599166511
67.08040842197133,37.360754497996645,60.575173560455084
77.10772376405342,31.280980884070708,56.53961319200734
61.29891010946339,35.588819963805285,65.64823150766271
79.18093252853177,32.04495340676426,82.68433568585496
97.75871337421074,37.68328725850022,78.15018524745956
71.31829196991954,28.726097456695904,71.8750964665576
75.39807255831789,34.39633357371888,67.61563734379081
71.77371898945233,40.320683358782304,70.78437879973742
80.46825559743637,38.20249599943474,65.67084903796017
72.65488929696247,35.13046676806348,55.3897849147954
73.63065253845619,33.723569495400604,60.882854727980344
68.17303835425899,38.293235139114536,83.69454895510458
69.30740264634433,34.121178343916384,63.589826998399886
69.07599993094117,30.834345284133875,75.81974961547539
63.44113320238959,32.58724544357875,79.14654290393261
72.53207260862057,33.60834325956961,70.50548026668105
67.73932898579838,38.757448844494505,60.913098729764606
70.4891115403316,37.991675027036635,53.54409138362829
82.01567601351539,32.392355432920475,66.72847028726072
58.390803535360405,36.73405638935182,65.1708127333432
64.83519553746875,28.29611612452756,67.55715223193381
68.30487752344702,34.35901328138192,74.64792546974202
81.69512593242935,34.52946679078888,61.746459209292176
67.78334084693198,31.765728689954774,65.15643887412276
64.78247789855045,37.6138273667809,67.8176097498651
68.77100405981871,31.277372207555267,73.88145679533643
70.95236391996599,35.5921855004105,64.66066090787898
63.120570563978475,33.82693776766661,56.86203514571021
83.14068518421047,26.3907359733818,66.20062422379101
78.17882050835766,37.571093945368126,77.69466874995288
66.88931974454802,32.28103489081685,61.7150250683303
67.00383061020739,26.2692162447664,59.7727098769175
89.6855103547943,29.31783922559945,64.1731112481197
85.6091719014673,35.935514603177495,69.792302416253
67.841635839042155,34.04481349934437,70.80327739911658
67.36913705756439,38.90353778045865,72.2993280684389
80.4715340348338,32.446576846796795,79.18229775875959
77.15382609471517,35.56529364253419,67.59205059325097
61.17665871738529,34.30488672209958,68.63125901013291
85.5090681028165,34.06825548342856,65.38233173470488
72.06036606520581,35.19799290675302,65.62219957670871
66.6368227785032,33.06316898639142,74.38964895518058
74.67445126655807,39.63180499688764,68.50171314592257
78.11947710787828,35.52809761711774,74.1136786581138
71.02258171226812,35.804815782502224,75.40137552864864
80.14156946320041,35.57639834745224,73.45576504578655
76.49136714920925,38.238393521531826,70.59426004791746
67.66550918745688,40.82479357922559,60.941068316681495
68.54402119076643,27.76898945084215,75.62207138211609
79.32392639554415,37.91772493787056,76.36895752075172
77.90067700061427,39.8063703231673,70.65048709279664
66.9310736617939,39.26601644472628,68.99736050594738
49.097775037725555,40.417459215662504,69.51705296475829
74.39614952604832,34.99644245830835,59.18429817906738
60.34550006377418,39.781982437729084,51.56101289790315
70.9865109717896,33.38271000156293,72.8084220097045
76.74881599268285,36.32204984826336,62.94217858181011
89.74422692654542,41.77431396431063,68.96519354731907
83.8785836985164,27.752031689628886,74.88615025617634
74.08415800657642,30.741209286915655,74.94870102140813
76.22946526554487,36.33803412396961,59.43535095029932
